COMMENT,Note: An 'x' indicates that a particular quality criteria is given. A 'v' indicates that the paper does not qualify for the criteria.,,,,,,,,,,,,,,
Title,Authors,Year,Clear research topic,Clear end product,Placed in context,Quantifiable experiments,Qualitative testing,Experimental outcome indicated,Theoretical justification,SOTA comparison,Outperforms SOTA,Definitively novel,Published in respectable channel,Definitively using machine learning,Applied to real world problem
"Continuous, online monitoring and analysis in large water distribution networks","Ma, X.a b and Xiao, H.a b and Xie, S.a b and Li, Q.a b and Luo, Q.c and Tian, C.d",2011,x,x,v,v,v,v,v,v,v,x,x,x,x
SIC-means: A semi-fuzzy approach for clustering data streams using C-means,"Magdy, A. and Bassiouny, M.K.",2010,x,x,x,x,v,x,x,v,v,x,v,x,v
Representation Search through Generate and Test,"Mahmood, Ashique Rupam and Sutton, Richard S.",,x,v,v,v,v,v,v,v,v,x,v,x,v
Knowledge Discovery in Data Mining and Massive Data Mining,"Malini, Mrs and Patil, M",,,,,,,,,,,,,,v
A privacy preserving data mining methodology for dynamically predicting emerging human threats,"Manohar, G.a and Tucker, C.S.b",2013,x,x,v,v,x,v,v,v,v,x,v,x,x
Mining maximal frequent itemsets from data streams,"Mao, G.a b and Wu, X.a and Zhu, X.a and Chen, G.a and Liu, C.b",2007,x,x,x,x,v,x,x,v,v,x,v,x,v
Medical data mining for early deterioration warning in general hospital wards,"Mao, Y.a and Chen, Y.b and Hackmann, G.b and Chen, M.b and Lu, C.b and Kollef, M.c and Bailey, T.C.c",2011,x,x,v,x,v,x,v,v,v,x,v,x,x
Fast mining of closed frequent itemsets in data streams,"Mao, Y.a and Chen, Z.b and Liu, L.b",2013,x,x,v,x,v,x,v,v,v,x,v,x,v
A mining maximal frequent itemsets over the entire history of data streams,"Mao, Y. and Li, H. and Yang, L. and Chen, Z. and Liu, L.",2009,x,x,v,x,v,x,x,v,v,x,v,x,v
An intrusion detection model based on data mining over data,"Mao, Y.-M.a b and Yang, L.-M.a and Chen, Z.-G.a and Liu, L.-X.a",2011,x,x,v,x,v,v,x,v,v,x,v,x,x
Imputation of streaming low-rank tensor data,"Mardani, M. and Mateos, G. and Giannakis, G.B.",2014,x,x,v,x,v,x,v,v,v,x,v,x,x
Time stamping in the presence of latency and drift,"Marrs, G.R. and Hickey, R.J. and Black, M.M.",2011,v,x,x,x,v,v,v,v,v,x,v,x,v
Heuristic methods for automating event detection on sensor data in near real-time,"Mauer, D. and Lai, B. and Casper, J. and Leveille, P. and Hu, J. and Albuquerque, R. and Cheung, E.",2011,x,x,v,v,x,v,v,v,v,v,v,x,x
Towards Scalable One-Pass Analytics Using MapReduce,"Mazur, Edward and Li, Boduo and Diao, Yanlei and Shenoy, Prashant",2011,x,x,x,x,v,v,x,v,v,x,v,x,v
Amplifying the voice of youth in Africa via text analytics,"Melville, Prem and Chenthamarakshan, Vijil and Lawrence, Richard D. and Powell, James and Mugisha, Moses and Sapra, Sharad and Anandan, Rajesh and Assefa, Solomon",2013,x,x,v,v,v,v,x,v,v,v,x,x,x
Mining developing trends of dynamic spatiotemporal data streams,"Meng, Y. and Dunham, M.H.",2006,v,x,v,x,v,x,x,v,v,x,v,x,v
A heuristic method for unstructured pattern management over data streams,"Miao, G.a and Li, H.b and Wang, T.c",2010,x,x,v,x,v,v,v,v,v,x,v,x,v
"Real-time spatio-temporal data mining with the ""streamonas"" data stream management system","Michael, P.A. and Stott Parker, D.",2009,v,x,x,x,v,x,v,v,v,x,v,x,v
Data stream mining with multiple sliding windows for continuous prediction,"Mimran, O. and Even, A.",2014,x,x,v,v,v,x,x,v,v,x,v,x,x
Data stream mining based real-time highspeed traffic classification,"Mingliang, G.a and Xiaohong, H.a and Xu, T.a and Yan, M.a b and Zhenhua, W.a",2009,x,x,v,x,v,x,x,v,v,v,v,x,x
The TDAQ analytics dashboard: A real-time web application for the ATLAS TDAQ control infrastructure,"Miotto, G.L. and Magnoni, L. and Sloper, J.E.",2011,x,x,v,v,v,x,v,v,v,x,v,x,x
Internet Information Retrieval for Enabling Student Projects,"Mohamed, Nader and Al-Jaroodi, Jameela and Jawhar, Imad",2009,v,x,v,v,v,v,v,v,v,v,v,v,x
Flexible least squares for temporal data mining and statistical arbitrage,Giovanni Montana and Kostas Triantafyllopoulos and Theodoros Tsagaris,2009,x,x,x,x,v,v,x,v,v,x,v,x,x
Service-based approach for intelligent agent frameworks,"Mora, R.P.a and Hill, J.L.b",2011,v,x,v,v,v,v,v,v,v,v,v,v,v
Tracking dynamics of topic trends using a finite mixture model,"Morinaga, S. and Yamanishi, K.",2004,x,x,v,v,v,x,v,v,v,x,x,x,x
Fast computation of approximate biased histograms on sliding windows over data streams,"Mousavi, H. and Zaniolo, C.",2013,x,x,v,v,v,v,v,x,x,x,v,v,x
Verifying and Mining Frequent Patterns from Large Windows over Data Streams,"Mozafari, Barzan and Thakkar, Hetal and Zaniolo, Carlo",2008,x,x,x,v,v,v,v,x,x,x,x,x,v
Data-centered service composition for information analysis,"Murakami, Y. and Tanaka, M. and Bramantoro, A. and Zettsu, K.",2012,v,v,x,v,v,v,v,v,v,x,v,v,v
DSCLU: A new data stream CLUstring algorithm for multi density environments,"Namadchian, A.a and Esfandani, G.b",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Modeling microtext with higher order learning,"Nelson, C.a and Keiler, H.b and Pottenger, W.M.c",2013,x,x,v,x,v,x,x,v,v,x,x,x,x
A test paradigm for detecting changes in transactional data streams,"Ng, W. and Dash, M.",2008,x,x,x,x,v,v,x,v,v,x,v,x,v
Online learning from imbalanced data streams,"Nguyen, H.M.a and Cooper, E.W.b and Kamei, K.b",2011,x,x,x,x,v,v,v,v,v,x,v,x,v
Grid-based Mobile Phone Fraud Detection System,"Nguyen, Tho Manh and Tjoa, A Min",2004,v,x,v,v,v,v,v,v,v,v,v,x,x
Online mining closed frequent itemsets in mixed window over data streams,"Ni, Z.-W.a b and Jiang, M.a b and Wang, C.a b and Dai, Q.-B.a b",2010,x,x,x,x,v,x,v,v,v,x,v,x,v
Accurate subsequence matching on data stream under time warping distance,"Niennattrakul, Vit and Wanichsan, Dechawut and Ratanamahatana, Chotirat Ann",2009,x,x,x,x,v,x,x,x,v,x,v,x,v
ACE: Adaptive classifiers-ensemble system for concept-drifting environments,"Nishida, K. and Yamauchi, K. and Omori, T.",2005,x,x,x,x,v,x,v,v,v,x,v,x,v
Real-Time Monitoring and Long-Term Analysis by Means of Embedded Systems,"Noack, Tino and Prof, Supervised and Schmitt, Ingo and Cottbus, Tu",,v,x,v,v,v,v,v,v,v,v,v,v,v
Learning in Environments with Unknown Dynamics: Towards more Robust Concept Learners,"Núñez , Marlon and Fidalgo, Raúl and Morales, Rafael",2007,x,x,x,x,v,x,v,v,v,x,v,x,v
From real-time data to production optimization,"Oberwinkler, C. and Stundner, M.",2005,x,x,v,v,v,v,x,v,v,v,v,x,x
Online association rule mining over fast data,"Olmezogullari, E. and Ari, I.",2013,x,x,v,x,v,x,v,v,v,x,v,x,v
Fuzzy knowledge representation study for incremental learning in data streams and classification problems,"Orriols-Puig, A.a and Casillas, J.b",2011,x,x,x,x,v,x,v,x,v,v,v,x,v
An efficient decision tree classification method based on extended hash table for data streams mining,"Ouyang, Z.a and Wu, Q.b and Wang, T.b",2008,x,x,x,v,v,v,v,v,v,x,v,x,v
Competitive and online piecewise linear classification,"Ozkan, H.a and Donmez, M.A.b and Pelvan, O.S.c and Akman, A.c and Kozat, S.S.a",2013,x,x,v,x,v,x,v,v,v,x,v,x,v
Prolonged sitting detection for office workers syndrome prevention using kinect,"Paliyawan, P. and Nukoolkit, C. and Mongkolnam, P.",2014,x,x,x,x,v,x,x,x,x,x,v,x,x
Online Selection of Diverse Results,"Panigrahi, Debmalya and Das, Atish and Gagan, Sarma and Tomkins, Aggarwal Andrew",,x,x,v,x,v,v,v,v,v,x,v,x,v
Adaptive trace of multi-dimensional clusters by monitoring data streams,"Park, N.H.a and Joo, K.H.b and Han, S.Y.a",2013,x,x,x,x,v,v,v,v,v,x,v,x,v
Rapidly labeling and tracking dynamically evolving concepts in data streams,"Parker, B.S. and Khan, L.",2013,x,v,v,v,v,v,v,x,v,v,v,x,v
Concept adapting real-time data stream mining for health care applications,"Patil, D.D. and Mudkanna, J.G. and Rokade, D. and Wadhai, V.M.",2012,x,v,x,v,v,v,v,x,v,v,v,x,x
Dynamic data mining approach to WMRHM,"Patil, D.D.a and Wadhai, V.M.b",2012,x,x,v,v,v,v,v,v,v,v,v,x,x
Real-time analytics processing with MapReduce,"Peng, C.-Z.a and Jiang, Z.-J.a and Cai, X.-B.b and Zhang, Z.-K.a",2012,x,x,x,v,v,v,v,v,v,x,v,x,v
Enabling the integration of clinical event and physiological data for real-time and retrospective analysis,"Percival, J.a and McGregor, C.a and Percival, N.b and James, A.c d",2014,x,x,v,x,v,v,v,v,v,v,v,v,x
Event Mining with Event Processing Networks,"Perrochon, Louis and Mann, Walter and Kasriel, Stephane and Luckham, David C.",1999,v,x,v,v,v,v,v,v,v,x,v,x,v
On-Line Cumulative Learning of Hierarchical Sparse n-Grams,"Pfleger, Karl",2004,x,x,x,v,v,v,x,v,v,x,v,x,v
Detection of cross-channel anomalies,"Pham, D.-S.a and Saha, B.b and Phung, D.Q.b and Venkatesh, S.b",2013,x,x,x,x,v,x,x,x,x,x,v,x,v
Mining top-k rank frequent patterns in data streams a tree based approach with ternary function and ternary feature vector,"PhridviRaj, M.S.B.a and Guru Rao, C.V.b",2013,x,v,v,v,v,v,v,v,v,v,v,x,v
Resource-aware Online Data Mining in Wireless Sensor Networks,"Phung, Nhan Duc and Gaber, Mohamed Medhat and Rohm, Uwe",2007,x,x,v,x,v,x,v,v,v,v,v,x,x
Recent frequent itemsets mining over data streams,"Pramod, S.a and Vyas, O.P.b",2012,x,x,x,x,v,x,v,v,v,x,v,x,v
Streamlining CASTOR to manage the LHC data torrent,"Presti, G.L. and Curull, X.E. and Cano, E. and Fiorini, B. and Ieri, A. and Murray, S. and Ponce, S. and Sindrilaru, E.",2014,v,v,x,v,v,v,x,v,v,v,v,v,v
Adaptively detecting aggregation bursts in data streams,"Qin, List Shouke and Qin, Shouke and Qian, Weining and Zhou, Aoying",2005,,,,,,,,,,,,,v
Approximately processing multi-granularity aggregate queries over data streams,"Qin, S.a and Qian, W.a and Zhou, A.a b",2006,x,x,x,x,v,v,x,v,v,x,x,x,v
A real-time architecture for NIDS based on sequence analysis,{Qing-Hua Liu} and {Feng Zhaoi} and {Feng Zhao},2005,x,x,v,v,v,v,x,v,v,v,v,x,x
Grid-based Data Stream Clustering for Intrusion Detection,"Quan, Qian and Xiao, Chao-jie and Zhang, Rui",2011,v,x,x,x,v,x,v,v,v,x,v,x,v
Addressing big data time series: Mining trillions of time series subsequences under dynamic time warping,"Rakthanmanon, T.a and Campana, B.b and Mueen, A.b and Batista, G.c and Westover, B.d and Zhu, Q.b and Zakaria, J.b and Keogh, E.b",2013,x,x,x,x,v,v,x,x,x,x,v,x,v
A dynamic approach for mining generalised sequential patterns in time series clinical data sets,"Rasheeda Shameem, M.a and Razia Naseem, M.a and Subanivedhi, N.K.a and Sethukkarasi, R.b",2013,x,x,v,x,v,x,v,v,v,x,v,x,x
Mining associated sensor patterns for data stream of wireless sensor networks,"Rashid, Md.M. and Gondal, I. and Kamruzzaman, J.",2013,x,x,x,x,v,x,x,v,v,x,v,x,v
Mining multidimensional sequential patterns over data streams,"Rassi, C. and Plantevit, M.",2008,x,x,x,x,v,x,x,v,v,x,v,x,v
Mining unstructured text at gigabyte per second speeds,"Ratner, A.",2008,x,v,v,v,v,v,v,v,v,v,v,x,v
Component-based framework for mobile data mining with support for real-time sensors,"Rautio, T. and Laurinen, P. and RÃƒÂ¶ning, J.",2009,x,x,x,v,x,v,v,v,v,x,v,x,v
Anomalous pattern detection using context aware ubiquitous data mining,"ur Rehman, Z.a and Shahbaz, M.a and Shaheen, M.a and Mehmood, S.a and Masood, S.A.b",2012,x,x,v,v,v,v,v,v,v,v,v,x,v
Density-based data streams subspace clustering over weighted sliding windows,"Ren, J.a and Cao, S.a and Hu, C.b",2011,,,,,,,,,,,,,v
Density-Based Data Streams Subspace Clustering over Weighted Sliding Windows,"Ren, Jiadong and Cao, Shiyuan and Hu, Changzhen",2010,x,x,v,v,v,x,v,v,v,x,v,x,v
Online mining frequent path traversal patterns in web click streams,"Ren, J. and Feng, J.",2008,x,x,x,x,v,x,v,v,v,x,v,x,v
An algorithm based on prime-block encoding for mining frequent patterns in data streams,"Ren, J.a and Wang, Q.a and Wang, M.b",2011,x,x,v,x,v,v,v,v,v,v,v,x,v
An algorithm based on equal - length bit table for mining frequent patterns in data streams,"Ren, J.a and Wang, Q.a and Wang, M.b and Feng, S.a",2011,v,x,x,x,v,v,x,v,v,x,v,x,v
Online data stream mining of recent frequent itemsets based on sliding window model,"Ren, J.-D. and Li, K.",2008,x,x,x,x,v,x,v,x,x,x,v,x,v
Discovery and diagnosis of behavioral transitions in patient event streams,"Robinson, William N. and Akhlaghi, Arash and Deng, Tianjie and Syed, Ali Raza",2012,x,v,v,v,v,v,v,v,v,v,v,x,x
Online evaluation of patterns from evolving web data streams,"Rojas, C. and Nasraoui, O.",2009,x,x,v,x,v,v,v,v,v,v,v,x,v
Adaptive middleware for real-time prescriptive analytics in large scale power systems,"Rusitschka, S.a and Doblander, C.b and Goebel, C.b and Jacobsen, H.-A.b",2013,x,v,v,v,v,v,v,v,v,x,v,v,v
Frequent Itemset mining over transactional data streams using Item-Order-Tree,"S, Pramod and Vyas, O. P.",,x,x,v,v,v,v,v,v,v,x,v,x,v
Improving data partition schemes in Smart Grids via clustering data streams,Andreu Sancho-Asensio and Joan Navarro and Itziar Arrieta-Salinas and JosÃƒÂ© Enrique ArmendÃƒÂ¡riz-Ãƒï¿½ÃƒÂ±igo and Virginia JimÃƒÂ©nez-Ruano and AgustÃƒÂ­n Zaballos and Elisabet Golobardes,2014,x,x,x,x,v,x,v,v,v,x,v,x,v
Probing of geospatial stream data to report disorientation,"Saravanan, M. and Sundar, D. and Kumaresh, V.S.",2013,x,x,v,v,v,v,v,v,v,v,v,x,x
Esc: Towards an elastic stream computing platform for the cloud,"Satzger, B. and Hummer, W. and Leitner, P. and Dustdar, S.",2011,v,x,x,v,x,v,v,v,v,v,v,x,v
"Adaptation, learning, and optimization over networks","Sayed, A.H.",2014,x,v,x,v,v,v,x,v,v,v,v,v,v
Scalable clustering and keyword suggestion for online advertisements,"Schwaighofer, A. and Candela, J.Q. and Borchert, T. and Graepel, T. and Herbrich, R.",2009,x,x,x,x,v,v,v,v,v,x,x,x,x
"Reverse hashing for high-speed network monitoring: Algorithms, evaluation, and applications","Schweller, Robert and Li, Zhichun and Chen, Yan and Gao, Yan and Gupta, Ashish and Zhang, Yin and Dinda, Peter and Kao, Ming-yang and Memik, Gokhan",2004,x,x,v,x,v,x,x,x,v,x,v,x,x
A Novel Weight Adjustment Method for Handling Concept-Drift in Data Stream Classification,"Shahparast, H. and Jahromi, M.Z. and Taheri, M. and Hamzeloo, S.",2014,x,x,x,x,v,x,v,x,x,x,v,x,v
An on-line and off-line pipeline-based architecture of the system for gaps and outlier detection in energy data stream,"Shcherbakov, M.a and Timofeev, Y.a and Saprykin, A.a and Trushin, V.a and Tyukov, A.a and Shcherbakova, N.a and Kamaev, V.a and Brebels, A.b",2013,x,x,v,v,v,x,v,v,v,v,v,x,x
Using on-the-move mining for mobile crowdsensing,"Sherchan, W.a and Jayaraman, P.P.a and Krishnaswamy, S.a b and Zaslavsky, A.c and Loke, S.d and Sinha, A.a",2012,v,x,x,x,v,x,v,x,x,x,v,x,x
An integrated machine learning and control theoretic model for mining concept-drifting data streams,"Shetty, Sachin and Mukkavilli, Sai Kiran and Keel, L. H.",2011,x,x,x,v,v,v,x,v,v,x,v,x,x
Efficient algorithms for mining maximal high utility itemsets from data streams with different models,Bai-En Shie and Philip S. Yu and Vincent S. Tseng,2012,x,x,x,x,v,x,v,x,x,x,v,x,v
CP-tree: An adaptive synopsis structure for compressing frequent itemsets over online data streams,"Shin, S.J. and Lee, D.S. and Lee, W.S.",2014,x,x,v,v,v,v,x,v,v,x,v,x,v
"DIY GIS: A constructionist, educational toolkit for architecture students","Simeone, L.a b and Lupi, G.c and Patelli, P.c and Iaconesi, S.b and Persico, O.b",2012,x,x,v,v,v,v,v,v,v,x,v,x,x
Modeling and Optimization for Big Data Analytics: (Statistical) learning tools for our era of data deluge,"Slavakis, Konstantinos and Giannakis, Georgios B. and Mateos, Gonzalo",2014,x,v,x,v,v,v,x,v,v,v,v,x,v
Process neural network modeling for real time short-term traffic flow prediction,"Song, G.-J.a and Hu, C.a and Xie, K.-Q.a and Peng, R.b",2009,x,x,x,x,v,x,v,v,v,x,v,x,x
Estimation and maintenance of frequent pattern on data streams,"Song, G.-J. and Tang, S.-W. and Yang, D.-Q. and Wang, T.-J.",2004,x,x,v,x,v,v,v,v,v,v,v,x,v
Body sensor data processing using stream computing,"Sow, D. and Biem, A. and Blount, M. and Ebling, M. and Verscheure, O.",2010,x,x,v,v,v,v,v,v,v,x,v,x,x
Real-time prognosis of ICU physiological data streams.,"Sow, D. and Biem, A. and Sun, J. and Hu, J. and Ebadollahi, S.",2010,v,x,v,v,v,v,v,v,v,v,v,x,x
ERules: A modular adaptive classification rule learning algorithm for data streams,"Stahl, F.a and Gaber, M.M.b and Salvador, M.M.a",2012,x,x,x,v,v,v,v,v,v,x,v,x,v
Adaptive mining of sparse skyline over data stream,"Su, L. and Zou, P. and Jia, Y.",2008,x,x,x,x,v,x,x,x,x,x,v,x,v
Adaptive cascade of boosted ensembles for face detection in concept drift,"Susnjak, T. and Barczak, A.L.C. and Hawick, K.A.",2012,x,x,v,x,v,x,x,v,v,x,v,x,v
Adaptive budget for online learning,"Tabatabaei, T.S. and Karray, F. and Kamel, M.S.",2013,x,x,x,x,v,x,v,v,v,v,v,x,v
Efficient data streams based closed frequent itemsets mining algorithm,"Tan, J.",2013,x,x,v,x,v,v,v,v,v,x,v,x,v
An efficient frequent closed itemsets mining algorithm over data streams,"Tan, J.a b and Bu, Y.a and Yang, B.a",2009,x,x,v,x,v,x,v,v,v,x,v,x,v
Mining regular patterns in data streams,"Tanbeer, S.K. and Ahmed, C.F. and Jeong, B.-S.",2010,x,x,v,x,v,x,v,v,v,x,v,x,v
CMNL-SW algorithm on online mining closed frequent itemsets over data stream,"Tang, C.a and Wang, P.a and Qu, Y.b",2012,v,x,x,x,v,x,x,v,v,x,v,x,v
Autopipelining for Data Stream Processing,"Tang, Yuzhe and Gedik, Bugra",2013,x,x,v,x,x,v,v,v,v,v,v,x,x
Mining Frequent Itemsets in Time-Varying Data Streams,"Tao, Yingying and \""{O}zsu, M. Tamer",,x,x,x,x,v,x,v,v,v,x,v,x,v
Efficient decision tree re-alignment for clustering time-changing data streams,"Tao, Y. and Ãƒâ€“zsu, M.T.",2010,x,v,x,x,v,x,v,v,v,x,v,v,v
Learning the pseudoinverse solution to network weights,"Tapson, J. and van Schaik, A.",2013,x,x,x,v,v,v,x,v,v,v,x,x,v
Statistical data mining of streaming motion data for activity and fall recognition in assistive environments,S.K. Tasoulis and C.N. Doukas and V.P. Plagianakos and I. Maglogiannis,2013,x,x,v,v,v,v,v,v,v,x,v,x,x
Distributed online big data classification using context information,"Tekin, C. and Van Der Schaar, M.",2013,x,x,v,x,v,v,v,v,v,x,v,x,v
A regression-based temporal pattern mining scheme for data streams,"Teng, Wei-guang and Chen, Ming-syan and Yu, Philip S.",2003,x,x,v,x,v,v,v,v,v,x,v,x,v
SMM: A data stream management system for knowledge discovery,"Thakkar, H.a and Laptev, N.b and Mousavi, H.b and Mozafari, B.b and Russo, V.c and Zaniolo, C.b",2011,x,x,v,v,v,v,x,v,v,x,x,x,x
Designing an inductive data stream management system: The stream mill experience,"Thakkar, H. and Mozafari, B. and Zaniolo, C.",2008,x,x,v,v,v,v,x,v,v,v,v,x,x
Towards the Optimization of a Parallel Streaming Engine for Telco Applications,"Theeten, Bart and Bedini, Ivan and Cogan, Peter and Sala, Alessandra and Cucinotta, Tommaso",2014,x,x,x,v,v,v,x,v,v,v,v,x,x
A Rule-Based Temporal Analysis Method for Online Health Analytics and Its Application for Real-Time Detection of Neonatal Spells,"Thommandram, Anirudh and Eklund, J. Mikael and McGregor, Carolyn and Pugh, James Edward and James, Andrew G.",2014,x,x,v,x,v,x,v,v,v,v,v,x,x
A dynamic online traffic classification methodology based on data stream mining,"Tian, X.a c and Sun, Q.a c and Huang, X.a c and Ma, Y.a b c",2009,x,x,v,x,v,x,x,v,v,x,v,x,x
Integrated wireless sensor network for large scale intelligent systems,"Tiwari, P.K.a and Parthasarathy, S.a and Chatterjee, A.N.a and Krishna, N.b",2013,v,v,v,v,v,v,v,v,v,v,v,x,v
Prediction of Stock Market from Stream Data Time Series Pattern using Neural Network and Decision Tree 1,"Tiwari, Shweta and Gulati, Alka",,x,x,v,v,v,v,v,v,v,x,v,x,x
Mining frequent itemsets in data streams using the weighted sliding window model,Pauray S.M. Tsai,2009,x,x,v,x,v,x,v,v,v,x,v,x,v
GPU task parallelism for scalable anomaly detection,"Ueno, Koji and Suzumura, Toyotaro",2012,x,x,x,x,v,x,x,v,v,x,v,x,v
Real time knowledge acquisition based on unsupervised learning of evolving neural models,"Vachkov, G.a b",2007,v,x,v,x,v,v,v,v,v,v,v,x,v
Online behavior change detection in computer games,"Vallim, R.M.M. and Andrade Filho, J.A. and De Mello, R.F. and De Carvalho, A.C.P.L.F.",2013,x,x,v,x,v,v,v,v,v,x,v,x,x
Data stream mining algorithms for building decision models in a computer roleplaying game simulation,"Vallim, R.M.M.a and De Carvalho, A.C.P.L.F.a and Gama, J.b",2011,x,x,x,x,v,v,v,v,v,v,v,x,v
Proposal of a new stability concept to detect changes in unsupervised data streams,Rosane M.M. Vallim and Rodrigo F. de Mello,2014,x,x,x,x,v,v,x,v,v,x,v,x,v
Concept mining of high volume data streams in network traffic using hierarchical clustering,"Vijayakumar, M.a and Parvathi, R.M.S.b",2010,x,x,x,v,v,v,v,v,v,x,v,x,v
SPAMS: a novel Incremental Approach for Sequential Pattern Mining in Data Streams,"Vinceslas, Lionel and Symphor, Jean-emile and Mancheron, Alban and Poncelet, Pascal",,x,x,v,x,v,x,v,v,v,x,v,x,v
Mining data streams with concept drifts using genetic algorithm,"Vivekanandan, P.a and Nedunchezhian, R.b",2011,x,x,x,v,v,v,v,x,v,x,v,x,v
Dynamic multi-faceted topic discovery in twitter,"Vosecky, J. and Jiang, D. and Leung, K.W.-T. and Ng, W.",2013,x,x,v,x,v,x,v,x,v,x,v,x,x
Efficient minimization of servo lag error in adaptive optics using data stream mining,"Vyas, A.a b and Roopashree, M.B.a and Prasad, B.R.a",2011,x,v,v,x,v,x,v,v,v,v,v,x,v
Apnea Pulse-Care: Real-time Data mining in Sleep Apnea Monitor,"Wakchaure, Sushma Laxman and Dny, Ganesh and Ghuge, Ev",,x,x,v,v,v,v,v,v,v,x,v,x,x
A weighted fuzzy clustering algorithm for data stream,"Wan, R.a and Yan, X.b and Su, X.a",2008,x,x,x,x,v,x,v,x,v,x,v,x,v
Incremental learning extremely random forest classifier for online learning,"Wang, A.-P. and Wan, G.-W. and Cheng, Z.-Q. and Li, S.-K.",2011,x,x,x,x,v,x,v,v,v,x,v,x,v
Fraud detection on online data streams,"Wang, B.a and Dong, A.b",2010,x,x,v,v,v,v,v,v,v,v,v,x,x
An efficient K-Means algorithm in the data stream model,"Wang, H.",2005,x,x,x,x,v,x,v,x,x,x,v,x,v
Online ngram-enhanced topic model for academic retrieval,"Wang, H. and Lang, B.",2011,x,x,v,x,v,x,v,x,x,x,v,x,x
Suppressing model overfitting in mining concept-drifting data streams,"Wang, H.a and Yin, J.a and Pei, J.b and Yu, P.S.a and Yu, J.X.c",2006,x,x,v,x,v,x,v,v,v,x,x,x,v
Seamless integrating and parallel processing based on cloud architecture for hydrocarbon reservoir data,"Wang, J.a b and Yao, W.a b and Shi, Y.a b and Chen, F.a b and Yang, Z.a b",2014,x,x,v,x,v,x,v,v,v,v,v,v,x
Online class imbalance learning and its applications in fault detection,"Wang, S. and Minku, L.L. and Yao, X.",2013,x,x,x,x,v,x,v,x,v,x,v,x,v
A learning framework for online class imbalance learning,"Wang, S. and Minku, L.L. and Yao, X.",2013,x,x,v,v,v,x,x,x,v,x,v,x,v
Maintaining only frequent itemsets to mine approximate frequent itemsets over online data streams,"Wang, Y. and Li, K. and Wang, H.",2009,x,x,x,x,v,x,v,x,x,x,v,x,v
Correlation analysis algorithm based on low-rank approximation for multiple dimension data streams,"Wang, Y.-L.a b and Xu, H.-B.a and Dong, Y.-S.a and Qian, J.-B.a and Liu, X.-J.a",2006,x,x,v,x,v,x,x,v,v,x,v,x,v
Mining group correlations over data streams,"Wang, Z. and Qian, J. and Zhou, M. and Dong, Y. and Chen, H.",2011,x,x,x,x,v,x,x,v,v,x,v,x,v
Online Passive-Aggressive algorithms on a budget,"Wang, Z. and Vucetic, S.",2010,x,x,v,x,v,x,v,x,x,x,v,x,v
Breaking the curse of kernelization: Budgeted stochastic gradient descent for large-scale SVM training,"Wang, Z.a d and Crammer, K.b and Vucetic, S.c",2012,x,x,x,x,v,x,x,x,x,v,v,x,v
New evolving ensemble classifier for handling concept drifting data streams,"Wankhade, K.a and Dongre, S.a and Thool, R.b",2012,x,x,x,x,v,v,v,x,x,x,v,x,v
Debellor: A data mining platform with stream architecture,"Wojnarski, M.",2008,v,x,v,x,v,v,v,v,v,v,v,x,x
EstMax: Tracing maximal frequent item sets instantly over online transactional data streams,"Woo, H.J. and Lee, W.S.",2009,x,x,v,x,v,v,v,v,v,x,x,x,v
Mining frequent patterns in data stream over sliding windows,"Wu, F.a and Wu, Q.a and Zhong, Y.a and Jin, X.b",2009,x,x,v,x,v,x,x,v,v,x,v,x,v
Study on the online clustering algorithm based on grid structure,"Wu, P. and Jia, J. and Zhu, T.",2013,x,x,x,x,v,x,v,v,v,x,v,x,v
To taxi or not to taxi? - Enabling personalised and real-time transportation decisions for mobile users,"Wu, W.a and Ng, W.S.a and Krishnaswamy, S.a and Sinha, A.b",2012,v,x,v,v,v,v,v,v,v,v,v,x,x
Compression and Aggregation for Logistic Regression Analysis in Data Cubes,"Xi, Ruibin and Lin, Nan and Chen, Yixin",,x,x,v,x,v,x,x,v,v,x,v,v,v
Mining Accurate Top-K Frequent Closed Itemset from Data Stream,"Xiaojun, Cao",2012,x,x,v,x,v,x,v,v,v,x,v,x,v
Local correlation detection with linearity enhancement in streaming data,"Xie, Q.a and Shang, S.b and Yuan, B.c and Pang, C.d and Zhang, X.a",2013,x,x,v,x,v,x,v,v,v,x,v,x,v
"Capturing concepts and detecting concept-drift from potential unbounded, ever-evolving and high-dimensional data streams","Xie, Y.a and Ravichandran, A.b and Haddad, H.a and Jayasimha, K.b",2008,x,x,v,x,v,x,v,v,v,x,v,x,v
E.A.: Visual analysis of multivariate data streams based on doi functions,"Xie, Zaixian and Ward, Matthew and Rundensteiner, Elke",2010,x,x,x,v,v,v,v,v,v,x,v,x,x
ODMCA: An adaptive data mining control algorithm in multicarrier networks,Naixue Xiong and Laurence T. Yang and Yingshu Li,2009,x,x,v,x,v,x,x,v,v,v,v,x,x
PRESEE: An MDL/MML algorithm to time-series stream segmenting,"Xu, K.a and Jiang, Y.b and Tang, M.c and Yuan, C.d and Tang, C.e",2013,x,x,x,x,v,x,v,x,x,x,v,x,v
A Flexible Architecture for Statistical Learning and Data Mining from System Log Streams,"Xu, Wei and Bod\'{\i}k, Peter and Patterson, David",,x,x,v,v,x,v,v,v,v,v,v,x,x
